日期 年/月/日,城市,业务线,PV,UV,报名量,分配量,分配率,拉新量,录入量,带看量,成交量,二手单量,租赁单量,新房单量
2022年8月24日,西安咸阳,二手房,9,8,1,1,1,0,1,,,0,0,0
2022年8月25日,北京,二手房,1998,1767,10,10,1,5,14,2,2,1,1,0
2022年8月25日,北京,租房,1998,1767,30,28,0.933,14,99,124,4,0,4,0
2022年8月25日,成都,二手房,98,79,1,1,1,1,,,,0,0,0
2022年8月25日,东莞,二手房,115,96,2,2,1,2,,,,0,0,0
2022年8月25日,东莞,租房,115,96,1,1,1,1,,,,0,0,0
2022年8月25日,杭州,二手房,996,925,2,1,0.5,1,13,14,,0,0,0
2022年8月25日,杭州,新房,996,925,1,0,0,0,,,,0,0,0
2022年8月25日,杭州,租房,996,925,3041,10,0.003,5,215,31,1,0,1,0
2022年8月25日,临汾,二手房,21,18,5,5,1,0,1,,,0,0,0
2022年8月25日,上海,二手房,527,455,4,1,0.25,4,1,,,0,0,0
2022年8月25日,上海,租房,527,455,7,6,0.857,5,15,7,1,0,1,0
2022年8月25日,苏州,二手房,189,174,1,1,1,1,,,,0,0,0
2022年8月25日,太原,二手房,220,191,6,4,0.667,3,1,1,,0,0,0
2022年8月25日,太原,新房,220,191,1,0,0,1,,,,0,0,0
2022年8月25日,太原,租房,220,191,5,4,0.8,2,4,2,2,0,2,0
2022年8月25日,天津,二手房,260,231,4,2,0.5,0,,,,0,0,0
2022年8月25日,天津,租房,260,231,4,3,0.75,2,1,1,,0,0,0
2022年8月25日,无锡,二手房,48,44,3,2,0.667,0,1,,,0,0,0
2022年8月25日,无锡,租房,48,44,1,1,1,0,,,,0,0,0
2022年8月25日,西安咸阳,租房,20,20,1,1,1,1,,,,0,0,0
2022年8月25日,郑州,租房,50,47,1,1,1,0,,,,0,0,0
2022年8月26日,北京,二手房,1865,1686,15,14,0.933,6,29,27,,0,0,0
2022年8月26日,北京,新房,1865,1686,2,0,0,2,,,,0,0,0
2022年8月26日,北京,租房,1865,1686,18,17,0.944,8,50,58,1,0,1,0
2022年8月26日,赤峰,二手房,2,1,1,1,1,1,,,,0,0,0
2022年8月26日,东莞,二手房,80,70,1,1,1,0,,,,0,0,0
2022年8月26日,杭州,二手房,968,902,6,6,1,3,10,27,,0,0,0
2022年8月26日,杭州,新房,968,902,1,0,0,0,,,,0,0,0
2022年8月26日,杭州,租房,968,902,2436,4,0.002,4,221,22,1,0,1,0
2022年8月26日,呼和浩特,租房,11,9,1,1,1,1,,,,0,0,0
2022年8月26日,临汾,租房,15,15,1,1,1,1,,,,0,0,0
2022年8月26日,临沂,二手房,7,4,1,1,1,1,,,,0,0,0
2022年8月26日,南昌,二手房,44,41,1,1,1,1,1,,,0,0,0
2022年8月26日,南昌,新房,44,41,1,0,0,1,1,2,,0,0,0
2022年8月26日,南京,二手房,233,219,1,1,1,1,2,,,0,0,0
2022年8月26日,南京,租房,233,219,1,1,1,0,4,,,0,0,0
2022年8月26日,青岛,二手房,40,35,1,1,1,1,,,,0,0,0
2022年8月26日,上海,二手房,482,421,3,3,1,3,2,,,0,0,0
2022年8月26日,上海,新房,482,421,2,0,0,2,1,,,0,0,0
2022年8月26日,苏州,二手房,226,198,5,3,0.6,1,,,,0,0,0
2022年8月26日,太原,二手房,163,148,3,2,0.667,2,4,4,,0,0,0
2022年8月26日,太原,租房,163,148,4,4,1,4,3,3,,0,0,0
2022年8月26日,天津,二手房,278,240,3,2,0.667,1,1,,,0,0,0
2022年8月26日,天津,租房,278,240,3,2,0.667,3,2,2,1,0,1,0
2022年8月26日,无锡,租房,52,45,1,1,1,0,,,,0,0,0
2022年8月26日,西安咸阳,租房,12,12,1,1,1,0,,,,0,0,0
2022年8月27日,北京,二手房,2001,1803,14,11,0.786,8,14,2,1,1,0,0
2022年8月27日,北京,新房,2001,1803,1,0,0,0,,,,0,0,0
2022年8月27日,北京,租房,2001,1803,20,19,0.95,9,45,32,4,0,4,0
2022年8月27日,成都,二手房,91,83,1,1,1,1,,,,0,0,0
2022年8月27日,杭州,二手房,1025,963,1,1,1,1,4,,,0,0,0
2022年8月27日,杭州,新房,1025,963,1,0,0,1,,,,0,0,0
2022年8月27日,杭州,租房,1025,963,11,10,0.909,5,6,7,,0,0,0
2022年8月27日,呼和浩特,二手房,11,11,1,1,1,0,1,,,0,0,0
2022年8月27日,南京,二手房,284,262,2,2,1,2,2,2,,0,0,0
2022年8月27日,南京,租房,284,262,2,2,1,2,2,1,,0,0,0
2022年8月27日,青岛,二手房,40,37,1,1,1,1,,,,0,0,0
2022年8月27日,上海,二手房,554,498,1,1,1,1,,,,0,0,0
2022年8月27日,上海,租房,554,498,6,6,1,4,13,9,4,0,4,0
2022年8月27日,苏州,二手房,238,211,3,3,1,3,,,,0,0,0
2022年8月27日,苏州,新房,238,211,1,0,0,1,,,,0,0,0
2022年8月27日,苏州,租房,238,211,1,1,1,1,,,,0,0,0
2022年8月27日,太原,二手房,162,147,3,2,0.667,1,,,,0,0,0
2022年8月27日,太原,新房,162,147,1,0,0,0,,,,0,0,0
2022年8月27日,太原,租房,162,147,6,6,1,2,2,1,,0,0,0
2022年8月27日,天津,二手房,238,212,2,2,1,1,1,,,0,0,0
2022年8月27日,天津,新房,238,212,1,0,0,0,,,,0,0,0
2022年8月27日,天津,租房,238,212,3,3,1,0,2,3,,0,0,0
2022年8月28日,北京,二手房,1949,1793,11,8,0.727,5,9,5,1,1,0,0
2022年8月28日,北京,新房,1949,1793,2,0,0,1,4,,,0,0,0
2022年8月28日,北京,租房,1949,1793,20,20,1,7,79,39,1,0,1,0
2022年8月28日,东莞,二手房,95,77,1,1,1,1,,,,0,0,0
2022年8月28日,杭州,二手房,1025,957,2,2,1,0,14,,,0,0,0
2022年8月28日,杭州,租房,1025,957,7,7,1,4,15,12,1,0,1,0
2022年8月28日,南京,二手房,258,240,4,4,1,1,4,5,,0,0,0
2022年8月28日,南京,租房,258,240,1,1,1,1,1,1,,0,0,0
2022年8月28日,青岛,二手房,23,23,1,1,1,0,,,,0,0,0
2022年8月28日,上海,二手房,545,476,4,2,0.5,2,2,,,0,0,0
2022年8月28日,上海,租房,545,476,4,4,1,2,7,4,,0,0,0
2022年8月28日,苏州,二手房,197,180,1,0,0,1,,,,0,0,0
2022年8月28日,太原,二手房,265,216,14,9,0.643,3,7,26,,0,0,0
2022年8月28日,太原,租房,265,216,8,6,0.75,6,2,3,,0,0,0
2022年8月28日,天津,二手房,209,194,1,1,1,1,,,,0,0,0
2022年8月28日,天津,新房,209,194,1,0,0,1,,,,0,0,0
2022年8月28日,天津,租房,209,194,1,1,1,0,,,,0,0,0
2022年8月28日,郑州,二手房,54,42,1,1,1,0,,,,0,0,0
2022年8月28日,郑州,租房,54,42,1,1,1,1,,,,0,0,0
2022年8月29日,北京,二手房,1866,1690,9,9,1,3,9,6,,0,0,0
2022年8月29日,北京,新房,1866,1690,3,0,0,3,1,,,0,0,0
2022年8月29日,北京,租房,1866,1690,18,17,0.944,10,37,22,5,0,5,0
2022年8月29日,赤峰,二手房,5,5,1,1,1,0,,,,0,0,0
2022年8月29日,东莞,二手房,91,78,1,1,1,1,,,,0,0,0
2022年8月29日,杭州,二手房,1083,1023,3,3,1,2,,,1,0,1,0
2022年8月29日,杭州,租房,1083,1023,6,6,1,3,10,14,1,0,1,0
2022年8月29日,南昌,二手房,59,56,1,1,1,1,1,,,0,0,0
2022年8月29日,南昌,租房,59,56,1,1,1,0,1,,,0,0,0
2022年8月29日,南京,二手房,320,299,5,5,1,4,6,1,,0,0,0
2022年8月29日,南京,租房,320,299,2,2,1,0,1,,,0,0,0
2022年8月29日,青岛,租房,36,36,2,2,1,2,,,,0,0,0
2022年8月29日,上海,二手房,509,441,3,3,1,3,2,,,0,0,0
2022年8月29日,上海,租房,509,441,4,4,1,2,8,6,1,0,1,0
2022年8月29日,苏州,二手房,194,181,3,3,1,1,,,,0,0,0
2022年8月29日,苏州,租房,194,181,3,3,1,2,1,1,,0,0,0
2022年8月29日,太原,二手房,209,174,4,2,0.5,3,2,4,,0,0,0
2022年8月29日,太原,租房,209,174,8,8,1,5,12,4,1,0,1,0
2022年8月29日,天津,二手房,216,163,4,4,1,2,1,5,,0,0,0
2022年8月29日,天津,新房,216,163,1,0,0,1,,,,0,0,0
2022年8月29日,天津,租房,216,163,3,3,1,3,3,,,0,0,0
2022年8月29日,武汉,二手房,33,27,1,1,1,1,,,,0,0,0
2022年8月29日,西安咸阳,二手房,21,20,1,1,1,1,,,,0,0,0
2022年8月30日,北京,二手房,1888,1653,15,13,0.867,10,12,1,,0,0,0
2022年8月30日,北京,租房,1888,1653,13,13,1,8,23,15,,0,0,0
2022年8月30日,成都,二手房,86,63,1,0,0,1,,,,0,0,0
2022年8月30日,成都,租房,86,63,1,1,1,1,,,,0,0,0
2022年8月30日,杭州,二手房,1038,984,6,6,1,5,8,1,,0,0,0
2022年8月30日,杭州,租房,1038,984,2,2,1,1,1,,,0,0,0
2022年8月30日,南昌,租房,54,49,1,1,1,1,1,,,0,0,0
2022年8月30日,南京,二手房,273,249,2,2,1,0,3,4,,0,0,0
2022年8月30日,南京,租房,273,249,4,4,1,2,4,,,0,0,0
2022年8月30日,青岛,二手房,38,36,1,1,1,1,,,,0,0,0
2022年8月30日,上海,二手房,521,457,9,8,0.889,7,8,1,,0,0,0
2022年8月30日,上海,新房,521,457,1,0,0,1,1,,,0,0,0
2022年8月30日,上海,租房,521,457,4,2,0.5,3,1,,,0,0,0
2022年8月30日,苏州,二手房,240,213,2,2,1,1,,,,0,0,0
2022年8月30日,苏州,新房,240,213,1,0,0,0,,,,0,0,0
2022年8月30日,苏州,租房,240,213,1,1,1,1,2,,,0,0,0
2022年8月30日,太原,二手房,160,142,6,6,1,4,8,17,2,2,0,0
2022年8月30日,太原,租房,160,142,2,2,1,1,,,,0,0,0
2022年8月30日,天津,二手房,227,194,2,1,0.5,0,,,,0,0,0
2022年8月30日,天津,租房,227,194,5,5,1,3,2,,,0,0,0
2022年8月30日,无锡,二手房,60,60,2,2,1,1,1,,,0,0,0
2022年8月30日,西安咸阳,租房,21,17,1,1,1,1,,,,0,0,0
2022年8月30日,郑州,租房,44,39,1,1,1,1,1,,,0,0,0
2022年8月31日,北京,二手房,1908,1701,24,21,0.875,14,36,28,1,1,0,0
2022年8月31日,北京,新房,1908,1701,1,0,0,1,,,,0,0,0
2022年8月31日,北京,租房,1908,1701,19,19,1,7,72,76,3,0,3,0
2022年8月31日,成都,二手房,109,89,1,1,1,1,,,,0,0,0
2022年8月31日,赤峰,二手房,10,8,1,1,1,1,,,,0,0,0
2022年8月31日,东莞,二手房,92,78,2,2,1,2,,,,0,0,0
2022年8月31日,杭州,二手房,942,878,5,4,0.8,2,9,9,1,0,1,0
2022年8月31日,杭州,租房,942,878,6,6,1,2,10,16,1,0,1,0
2022年8月31日,南京,二手房,253,235,2,2,1,0,4,,,0,0,0
2022年8月31日,南京,租房,253,235,2,1,0.5,1,3,,,0,0,0
2022年8月31日,青岛,二手房,41,35,1,1,1,0,,,,0,0,0
2022年8月31日,青岛,租房,41,35,1,1,1,1,,,,0,0,0
2022年8月31日,上海,二手房,535,468,6,6,1,2,,,,0,0,0
2022年8月31日,上海,租房,535,468,5,5,1,4,5,5,,0,0,0
2022年8月31日,苏州,二手房,252,211,3,3,1,2,,,,0,0,0
2022年8月31日,苏州,新房,252,211,1,0,0,1,,,,0,0,0
2022年8月31日,苏州,租房,252,211,5,5,1,4,3,,,0,0,0
2022年8月31日,太原,二手房,191,152,5,5,1,3,14,9,,0,0,0
2022年8月31日,太原,新房,191,152,1,0,0,0,,,,0,0,0
2022年8月31日,太原,租房,191,152,5,4,0.8,4,1,1,,0,0,0
2022年8月31日,天津,二手房,280,224,8,6,0.75,5,35,29,,0,0,0
2022年8月31日,天津,新房,280,224,1,0,0,1,,,,0,0,0
2022年8月31日,天津,租房,280,224,3,3,1,2,2,,,0,0,0
2022年8月31日,无锡,二手房,76,55,1,0,0,1,,,,0,0,0
2022年8月31日,郑州,二手房,60,53,2,1,0.5,1,1,,,0,0,0
2022年9月1日,北京,二手房,1770,1573,8,8,1,4,32,164,,0,0,0
2022年9月1日,北京,新房,1770,1573,2,0,0,0,1,,,0,0,0
2022年9月1日,北京,租房,1770,1573,21,19,0.905,12,55,18,2,0,2,0
2022年9月1日,成都,新房,60,54,1,0,0,1,,,,0,0,0
2022年9月1日,杭州,二手房,938,888,4,4,1,2,19,58,1,1,0,0
2022年9月1日,杭州,租房,938,888,7720,11,0.001,6,9,8,,0,0,0
2022年9月1日,南京,租房,278,262,1,1,1,1,1,,,0,0,0
2022年9月1日,上海,二手房,517,461,1,1,1,0,,1,,0,0,0
2022年9月1日,上海,租房,517,461,4,3,0.75,3,4,3,,0,0,0
2022年9月1日,苏州,二手房,161,142,2,2,1,2,,,,0,0,0
2022年9月1日,太原,二手房,151,135,4,1,0.25,1,8,21,,0,0,0
2022年9月1日,太原,新房,151,135,1,0,0,1,,,,0,0,0
2022年9月1日,太原,租房,151,135,4,4,1,2,1,,,0,0,0
2022年9月1日,天津,二手房,269,201,3,2,0.667,2,3,4,,0,0,0
2022年9月1日,天津,新房,269,201,1,0,0,0,2,,,0,0,0
2022年9月1日,无锡,租房,54,49,2,1,0.5,0,,,,0,0,0
2022年9月1日,郑州,租房,31,29,1,1,1,1,,,,0,0,0
2022年9月2日,北京,二手房,1834,1641,16,15,0.938,7,49,24,1,1,0,0
2022年9月2日,北京,租房,1834,1641,15,15,1,9,38,59,4,0,4,0
2022年9月2日,赤峰,二手房,16,8,1,1,1,0,,,,0,0,0
2022年9月2日,东莞,二手房,67,59,2,2,1,1,,,,0,0,0
2022年9月2日,杭州,二手房,946,875,6,6,1,3,2,,,0,0,0
2022年9月2日,杭州,新房,946,875,1,0,0,1,,,,0,0,0
2022年9月2日,杭州,租房,946,875,5,5,1,2,10,4,1,0,1,0
2022年9月2日,南京,二手房,302,280,2,2,1,0,2,2,,0,0,0
2022年9月2日,南京,新房,302,280,1,0,0,0,,,,0,0,0
2022年9月2日,南京,租房,302,280,7,5,0.714,6,10,1,,0,0,0
2022年9月2日,上海,二手房,501,447,1,1,1,1,,,,0,0,0
2022年9月2日,上海,租房,501,447,2,2,1,1,6,13,,0,0,0
2022年9月2日,苏州,二手房,204,184,1,1,1,0,1,,1,0,1,0
2022年9月2日,苏州,租房,204,184,2,2,1,2,,,,0,0,0
2022年9月2日,太原,二手房,161,142,1,1,1,1,,,,0,0,0
2022年9月2日,太原,租房,161,142,5,4,0.8,4,2,1,,0,0,0
2022年9月2日,天津,二手房,210,186,2,0,0,1,,,,0,0,0
2022年9月2日,天津,租房,210,186,5,5,1,4,7,3,,0,0,0
2022年9月2日,武汉,租房,46,37,1,1,1,1,,,,0,0,0
2022年9月2日,郑州,二手房,40,34,1,1,1,1,1,,,0,0,0
2022年9月3日,北京,二手房,1956,1770,11,10,0.909,5,15,5,1,1,0,0
2022年9月3日,北京,租房,1956,1770,26,25,0.962,14,64,62,3,0,3,0
2022年9月3日,成都,新房,76,65,1,0,0,1,,,,0,0,0
2022年9月3日,成都,租房,76,65,2,2,1,2,,,,0,0,0
2022年9月3日,东莞,租房,83,78,1,1,1,1,,,,0,0,0
2022年9月3日,杭州,二手房,956,891,3,2,0.667,1,,,,0,0,0
2022年9月3日,杭州,新房,956,891,1,0,0,1,,,,0,0,0
2022年9月3日,杭州,租房,956,891,6,6,1,3,4,5,,0,0,0
2022年9月3日,临沂,二手房,6,5,1,1,1,1,,,,0,0,0
2022年9月3日,南京,二手房,295,271,4,4,1,3,4,,,0,0,0
2022年9月3日,南京,租房,295,271,1,1,1,1,2,2,1,0,1,0
2022年9月3日,上海,二手房,597,529,3,3,1,3,1,,,0,0,0
2022年9月3日,上海,租房,597,529,6,6,1,4,4,5,,0,0,0
2022年9月3日,苏州,二手房,188,174,4,3,0.75,1,,,,0,0,0
2022年9月3日,太原,二手房,179,156,2,2,1,0,4,1,,0,0,0
2022年9月3日,太原,租房,179,156,6,6,1,5,10,6,,0,0,0
2022年9月3日,天津,二手房,249,213,1,1,1,1,1,,,0,0,0
2022年9月3日,天津,新房,249,213,1,0,0,1,,,,0,0,0
2022年9月3日,天津,租房,249,213,4,3,0.75,1,2,2,,0,0,0
2022年9月3日,郑州,租房,42,41,1,1,1,1,,,,0,0,0
2022年9月4日,北京,二手房,2045,1875,10,8,0.8,7,11,10,,0,0,0
2022年9月4日,北京,新房,2045,1875,1,0,0,0,,,,0,0,0
2022年9月4日,北京,租房,2045,1875,16,14,0.875,5,22,6,3,0,3,0
2022年9月4日,成都,二手房,68,56,1,1,1,0,,,,0,0,0
2022年9月4日,杭州,二手房,1031,973,4,4,1,3,,,,0,0,0
2022年9月4日,杭州,租房,1031,973,4,4,1,3,,,,0,0,0
2022年9月4日,临沂,二手房,10,9,1,1,1,1,,,,0,0,0
2022年9月4日,南京,二手房,290,270,3,3,1,2,3,,,0,0,0
2022年9月4日,上海,二手房,552,482,1,1,1,1,,,,0,0,0
2022年9月4日,上海,租房,552,482,4,4,1,2,4,4,1,0,1,0
2022年9月4日,太原,二手房,141,132,3,3,1,0,4,4,2,2,0,0
2022年9月4日,天津,二手房,235,195,3,2,0.667,2,,,,0,0,0
2022年9月4日,天津,新房,235,195,1,0,0,0,,,,0,0,0
2022年9月4日,天津,租房,235,195,4,3,0.75,4,2,1,,0,0,0
2022年9月4日,武汉,二手房,38,30,2,2,1,2,,,,0,0,0
2022年9月5日,北京,二手房,1671,1534,11,10,0.909,5,15,3,1,1,0,0
2022年9月5日,北京,新房,1671,1534,1,0,0,1,,,,0,0,0
2022年9月5日,北京,租房,1671,1534,13,12,0.923,8,61,94,2,0,2,0
2022年9月5日,杭州,二手房,993,921,7,7,1,3,5,27,,0,0,0
2022年9月5日,杭州,新房,993,921,1,0,0,0,1,5,,0,0,0
2022年9月5日,杭州,租房,993,921,12,12,1,7,26,53,2,0,2,0
2022年9月5日,临汾,二手房,39,23,8,8,1,0,1,,,0,0,0
2022年9月5日,南昌,新房,52,43,1,0,0,1,,,,0,0,0
2022年9月5日,南京,二手房,346,316,3,2,0.667,1,,,,0,0,0
2022年9月5日,南京,新房,346,316,1,0,0,1,1,,,0,0,0
2022年9月5日,南京,租房,346,316,4,4,1,3,4,,,0,0,0
2022年9月5日,上海,二手房,437,381,2,2,1,2,,,,0,0,0
2022年9月5日,上海,租房,437,381,4,4,1,3,9,7,,0,0,0
2022年9月5日,苏州,新房,206,193,1,0,0,1,,,,0,0,0
2022年9月5日,太原,二手房,153,136,1,1,1,1,4,8,,0,0,0
2022年9月5日,天津,二手房,235,194,6,4,0.667,3,,,,0,0,0
2022年9月5日,天津,新房,235,194,1,0,0,0,,,,0,0,0
2022年9月5日,天津,租房,235,194,5,5,1,4,6,7,,0,0,0
2022年9月5日,无锡,二手房,55,49,1,1,1,1,,,,0,0,0
2022年9月5日,武汉,二手房,35,29,1,1,1,1,,,,0,0,0
2022年9月6日,北京,二手房,1770,1595,13,11,0.846,10,12,,,0,0,0
2022年9月6日,北京,新房,1770,1595,4,0,0,2,,,,0,0,0
2022年9月6日,北京,租房,1770,1595,23,22,0.957,12,48,43,3,0,3,0
2022年9月6日,东莞,二手房,85,76,3,3,1,3,,,,0,0,0
2022年9月6日,杭州,二手房,931,869,4,4,1,2,3,19,1,1,0,0
2022年9月6日,杭州,新房,931,869,1,0,0,1,1,,,0,0,0
2022年9月6日,杭州,租房,931,869,6,6,1,2,38,25,1,0,1,0
2022年9月6日,南昌,租房,47,39,1,1,1,1,1,,,0,0,0
2022年9月6日,南京,二手房,294,259,9,9,1,4,9,7,,0,0,0
2022年9月6日,南京,租房,294,259,4,4,1,2,6,,,0,0,0
2022年9月6日,上海,二手房,494,424,3,3,1,2,3,,,0,0,0
2022年9月6日,上海,租房,494,424,3,3,1,2,1,,,0,0,0
2022年9月6日,苏州,二手房,187,171,3,3,1,2,,,,0,0,0
2022年9月6日,太原,二手房,146,134,1,1,1,1,1,,,0,0,0
2022年9月6日,天津,二手房,242,210,3,3,1,3,,,,0,0,0
2022年9月6日,天津,新房,242,210,1,0,0,1,,,,0,0,0
2022年9月6日,天津,租房,242,210,3,2,0.667,1,1,,,0,0,0
2022年9月6日,无锡,租房,66,62,1,1,1,1,,,,0,0,0
2022年9月6日,武汉,租房,42,35,2,2,1,2,,,,0,0,0
2022年9月7日,北京,二手房,1918,1729,13,12,0.923,7,18,10,3,1,2,0
2022年9月7日,北京,租房,1918,1729,23,23,1,16,56,41,7,0,7,0
2022年9月7日,成都,二手房,85,75,2,2,1,2,,,,0,0,0
2022年9月7日,东莞,二手房,134,100,3,3,1,3,2,,,0,0,0
2022年9月7日,杭州,二手房,903,849,5,5,1,3,8,8,,0,0,0
2022年9月7日,杭州,租房,903,849,5,4,0.8,4,13,9,3,0,3,0
2022年9月7日,临汾,二手房,34,28,3,3,1,0,3,1,,0,0,0
2022年9月7日,南昌,二手房,48,47,1,1,1,1,1,,,0,0,0
2022年9月7日,南京,二手房,279,265,4,4,1,2,4,4,,0,0,0
2022年9月7日,南京,租房,279,265,2,1,0.5,2,1,1,,0,0,0
2022年9月7日,上海,二手房,509,433,5,4,0.8,4,3,4,,0,0,0
2022年9月7日,上海,租房,509,433,4,4,1,1,5,4,,0,0,0
2022年9月7日,苏州,二手房,177,163,2,1,0.5,2,,,,0,0,0
2022年9月7日,苏州,租房,177,163,1,1,1,0,1,1,,0,0,0
2022年9月7日,太原,二手房,127,112,3,2,0.667,2,,,,0,0,0
2022年9月7日,太原,租房,127,112,5,5,1,5,19,11,,0,0,0
2022年9月7日,天津,二手房,285,245,4,3,0.75,3,2,,,0,0,0
2022年9月7日,天津,新房,285,245,1,0,0,1,,,,0,0,0
2022年9月7日,天津,租房,285,245,3,3,1,3,7,4,,0,0,0
2022年9月7日,西安咸阳,二手房,22,21,1,1,1,0,,,,0,0,0
2022年9月7日,郑州,二手房,35,31,1,1,1,1,,,,0,0,0
2022年9月8日,北京,二手房,1495,1354,14,13,0.929,8,21,4,,0,0,0
2022年9月8日,北京,新房,1495,1354,2,0,0,2,,,,0,0,0
2022年9月8日,北京,租房,1495,1354,13,11,0.846,9,26,20,2,0,2,0
2022年9月8日,成都,二手房,58,45,2,1,0.5,2,,,,0,0,0
2022年9月8日,赤峰,二手房,7,4,1,1,1,0,,,,0,0,0
2022年9月8日,东莞,二手房,89,76,3,3,1,2,,,,0,0,0
2022年9月8日,东莞,新房,89,76,1,0,0,1,,,,0,0,0
2022年9月8日,东莞,租房,89,76,1,1,1,0,1,,,0,0,0
2022年9月8日,杭州,二手房,691,656,6,6,1,4,5,4,,0,0,0
2022年9月8日,杭州,新房,691,656,1,0,0,1,,,,0,0,0
2022年9月8日,杭州,租房,691,656,5,4,0.8,2,1,,,0,0,0
2022年9月8日,临汾,二手房,12,12,1,1,1,1,,,,0,0,0
2022年9月8日,南昌,二手房,46,37,1,1,1,1,1,,,0,0,0
2022年9月8日,南京,二手房,185,173,2,1,0.5,0,1,,,0,0,0
2022年9月8日,南京,租房,185,173,4,4,1,2,6,2,2,0,2,0
2022年9月8日,青岛,租房,42,37,1,1,1,1,1,,,0,0,0
2022年9月8日,上海,二手房,386,345,2,2,1,2,1,1,,0,0,0
2022年9月8日,上海,租房,386,345,2,2,1,1,,,,0,0,0
2022年9月8日,苏州,二手房,155,142,4,4,1,2,1,,,0,0,0
2022年9月8日,苏州,新房,155,142,1,0,0,1,,,,0,0,0
2022年9月8日,苏州,租房,155,142,1,1,1,1,,,,0,0,0
2022年9月8日,太原,租房,161,136,3,2,0.667,1,4,5,,0,0,0
2022年9月8日,天津,二手房,303,231,6,4,0.667,2,1,1,1,1,0,0
2022年9月8日,天津,新房,303,231,1,0,0,1,,,,0,0,0
2022年9月8日,天津,租房,303,231,4,4,1,3,1,,,0,0,0
2022年9月8日,无锡,二手房,45,44,1,1,1,1,1,,,0,0,0
2022年9月8日,武汉,租房,25,18,1,1,1,1,,,,0,0,0
2022年9月8日,郑州,二手房,40,38,1,1,1,1,1,,,0,0,0
2022年9月8日,郑州,租房,40,38,1,1,1,1,,,,0,0,0
2022年9月9日,北京,二手房,1397,1244,7,6,0.857,3,5,6,1,1,0,0
2022年9月9日,北京,租房,1397,1244,16,16,1,8,35,19,3,0,3,0
2022年9月9日,常州,二手房,9,9,1,1,1,0,,,,0,0,0
2022年9月9日,常州,新房,9,9,1,0,0,1,,,,0,0,0
2022年9月9日,东莞,二手房,79,61,1,0,0,1,,,,0,0,0
2022年9月9日,杭州,二手房,615,576,4,2,0.5,2,1,1,,0,0,0
2022年9月9日,杭州,租房,615,576,6,6,1,1,7,7,,0,0,0
2022年9月9日,临汾,租房,10,7,1,1,1,1,,,,0,0,0
2022年9月9日,南昌,二手房,43,39,1,0,0,1,,,,0,0,0
2022年9月9日,南京,二手房,208,181,4,4,1,3,4,1,,0,0,0
2022年9月9日,上海,二手房,354,303,4,4,1,3,5,,,0,0,0
2022年9月9日,上海,租房,354,303,3,3,1,3,3,,,0,0,0
2022年9月9日,苏州,二手房,137,120,3,3,1,2,,,,0,0,0
2022年9月9日,太原,租房,115,105,1,1,1,1,,,,0,0,0
2022年9月9日,天津,二手房,219,181,11,9,0.818,7,2,3,,0,0,0
2022年9月9日,天津,新房,219,181,2,0,0,1,,,,0,0,0
2022年9月9日,天津,租房,219,181,5,4,0.8,3,3,1,,0,0,0
2022年9月10日,北京,二手房,1456,1316,7,6,0.857,1,6,4,,0,0,0
2022年9月10日,北京,新房,1456,1316,3,0,0,3,,,,0,0,0
2022年9月10日,北京,租房,1456,1316,9,9,1,6,23,8,,0,0,0
2022年9月10日,东莞,二手房,68,51,1,0,0,1,,,,0,0,0
2022年9月10日,杭州,二手房,669,617,3,3,1,1,1,,,0,0,0
2022年9月10日,杭州,新房,669,617,2,0,0,0,,,,0,0,0
2022年9月10日,杭州,租房,669,617,2,2,1,2,3,,,0,0,0
2022年9月10日,南昌,二手房,38,36,1,1,1,1,1,,,0,0,0
2022年9月10日,南京,二手房,165,150,1,1,1,0,,,,0,0,0
2022年9月10日,南京,租房,165,150,2,1,0.5,1,1,,,0,0,0
2022年9月10日,上海,二手房,415,363,3,3,1,1,1,,,0,0,0
2022年9月10日,上海,租房,415,363,3,2,0.667,2,1,,,0,0,0
2022年9月10日,苏州,二手房,138,129,1,0,0,1,,,,0,0,0
2022年9月10日,太原,二手房,100,80,1,1,1,0,,,,0,0,0
2022年9月10日,太原,租房,100,80,1,0,0,0,,,,0,0,0
2022年9月10日,天津,二手房,220,194,5,5,1,4,,,,0,0,0
2022年9月10日,天津,租房,220,194,2,2,1,1,,,,0,0,0
2022年9月10日,武汉,二手房,30,20,1,1,1,1,,,,0,0,0
2022年9月10日,武汉,租房,30,20,1,1,1,1,,,,0,0,0
2022年9月10日,西安咸阳,二手房,8,8,1,1,1,1,,,,0,0,0
2022年9月10日,郑州,二手房,36,31,1,1,1,1,1,,,0,0,0
2022年9月11日,北京,二手房,1733,1562,12,9,0.75,7,34,10,,0,0,0
2022年9月11日,北京,租房,1733,1562,15,13,0.867,10,38,46,3,0,3,0
2022年9月11日,常州,二手房,13,13,1,1,1,1,,,,0,0,0
2022年9月11日,东莞,二手房,65,54,1,1,1,1,,,,0,0,0
2022年9月11日,东莞,租房,65,54,1,1,1,0,,,,0,0,0
2022年9月11日,杭州,二手房,810,772,3,3,1,1,4,4,,0,0,0
2022年9月11日,杭州,租房,810,772,3,3,1,2,7,4,,0,0,0
2022年9月11日,南昌,二手房,50,43,2,2,1,2,3,,,0,0,0
2022年9月11日,南京,二手房,218,196,3,3,1,0,3,1,,0,0,0
2022年9月11日,南京,新房,218,196,1,0,0,0,,,,0,0,0
